Model,CV Accuracy,Test Accuracy,ROC AUC
KNN,0.7756906077348067,0.7996134020618557,0.9162089130873161
SVM,0.9212707182320441,0.928479381443299,0.992968340391208
Logistic Regression,0.9624309392265193,0.9684278350515464,0.989286146400484
