,precision,recall,f1-score,support
0,0.9782345828295043,0.7341197822141561,0.8387765681700363,1102.0
1,0.5958620689655172,0.96,0.7353191489361702,450.0
accuracy,0.7996134020618557,0.7996134020618557,0.7996134020618557,0.7996134020618557
macro avg,0.7870483258975107,0.847059891107078,0.7870478585531033,1552.0
weighted avg,0.867366263732343,0.7996134020618557,0.8087792494488767,1552.0
