,precision,recall,f1-score,support
0,0.9125728559533722,0.9945553539019963,0.9518019973947026,1102.0
1,0.9829059829059829,0.7666666666666667,0.8614232209737828,450.0
accuracy,0.928479381443299,0.928479381443299,0.928479381443299,0.928479381443299
macro avg,0.9477394194296775,0.8806110102843315,0.9066126091842427,1552.0
weighted avg,0.9329658373507143,0.928479381443299,0.9255968109324515,1552.0
