,precision,recall,f1-score,support
0,0.9897674418604652,0.9655172413793104,0.977491961414791,1102.0
1,0.9203354297693921,0.9755555555555555,0.9471413160733549,450.0
accuracy,0.9684278350515464,0.9684278350515464,0.9684278350515464,0.9684278350515464
macro avg,0.9550514358149287,0.9705363984674329,0.9623166387440729,1552.0
weighted avg,0.9696357373237493,0.9684278350515464,0.9686918387320292,1552.0
