Model,Precision (Spam),Recall (Spam),F1-Score (Spam)
KNN,0.5958620689655172,0.96,0.7353191489361702
SVM,0.9829059829059829,0.7666666666666667,0.8614232209737828
Logistic Regression,0.9203354297693921,0.9755555555555555,0.9471413160733549
