Feature,Coefficient
Sex_female,1.2994438328265545
Embarked_Q,0.3047841643046282
Fare,0.10026908223554726
Embarked_C,0.0322466059024143
Parch,-0.0664241277991699
SibSp,-0.26060659851365625
Embarked_S,-0.358305096027006
Age,-0.5028148776096905
Pclass,-0.9219722397344946
Sex_male,-1.320718158646517
